File::HomeDir::BEGIN@5	href=File-HomeDir-pm-632-line.html#5
Perl::Critic::Policy::TestingAndDebugging::RequireTestLabels::BEGIN@15	href=Perl-RequireTestLabels-pm-337-line.html#15
Text::ParseWords::BEGIN@8	href=Text-ParseWords-pm-664-line.html#8
Perl::Critic::Policy::Subroutines::ProtectPrivateSubs::BEGIN@13	href=Perl-ProtectPrivateSubs-pm-374-line.html#13
Perl::Critic::Exception::Configuration::Option::Global::BEGIN@11	href=Perl-Global-pm-166-line.html#11
Perl::Critic::Policy::CodeLayout::ProhibitTrailingWhitespace::BEGIN@12	href=Perl-ProhibitTrailingWhitespace-pm-720-line.html#12
constant::CORE:regcomp	href=constant-pm-20-line.html#constant__CORE_regcomp
PPI::Normal::Standard::BEGIN@21	href=PPI-Normal-Standard-pm-462-line.html#21
List::Util::BEGIN@30	href=List-Util-pm-23-line.html#30
PPIx::Regexp::Structure::RegexSet::BEGIN@3	href=PPIx-Regexp-Structure-RegexSet-pm-853-line.html#3
Perl::Tidy::BEGIN@77	href=Perl-Tidy-pm-735-line.html#77
Perl::Critic::Policy::Modules::ProhibitAutomaticExportation::BEGIN@15	href=Perl-ProhibitAutomaticExportation-pm-472-line.html#15
Perl::Critic::Policy::ValuesAndExpressions::ProhibitLongChainsOfMethodCalls::BEGIN@10	href=Perl-ProhibitLongChainsOfMethodCalls-pm-283-line.html#10
Perl::Critic::Policy::ClassHierarchies::ProhibitOneArgBless::violates	href=Perl-ProhibitOneArgBless-pm-754-line.html#34
PPI::Token::QuoteLike::Regexp::BEGIN@37	href=PPI-Token-QuoteLike-Regexp-pm-101-line.html#37
Perl::Critic::OptionsProcessor::color_severity_high	href=Perl-Critic-OptionsProcessor-pm-804-line.html#244
Role::Tiny::BEGIN@2.78	href=Path-MatchRegexp-pm-649-line.html#2
Perl::Critic::Policy::ClassHierarchies::ProhibitOneArgBless::BEGIN@10	href=Perl-ProhibitOneArgBless-pm-754-line.html#10
Carp::BEGIN@171	href=Carp-pm-26-line.html#171
PPI::Token::Quote::BEGIN@52	href=PPI-Token-Quote-pm-57-line.html#52
Perl::Critic::Policy::Objects::ProhibitIndirectSyntax::BEGIN@17	href=Perl-ProhibitIndirectSyntax-pm-422-line.html#17
PPI::Structure::For::isa	href=PPI-Structure-For-pm-450-line.html#48
PPI::Token::Number::Float::BEGIN@35	href=PPI-Token-Number-Float-pm-83-line.html#35
Role::Tiny::BEGIN@1.73	href=Path-File-pm-648-line.html#1
Perl::Critic::Utils::POD::ParseInteriorSequence::BEGIN@10	href=Perl-Critic-Utils-POD-ParseInteriorSequence-pm-675-line.html#10
File::HomeDir::Darwin::Cocoa::my_data	href=File-HomeDir-Darwin-Cocoa-pm-636-line.html#66
PPI::Token::QuoteLike::Words::BEGIN@33	href=PPI-Token-QuoteLike-Words-pm-102-line.html#33
PPIx::Regexp::Constant::BEGIN@26	href=PPIx-Regexp-Constant-pm-822-line.html#26
PPIx::Regexp::Structure::RegexSet::BEGIN@6	href=PPIx-Regexp-Structure-RegexSet-pm-853-line.html#6
Perl::Critic::Policy::Subroutines::ProhibitSubroutinePrototypes::BEGIN@13	href=Perl-ProhibitSubroutinePrototypes-pm-368-line.html#13
Encode::CORE:subst	href=Encode-pm-34-line.html#Encode__CORE_subst
PPIx::Regexp::Lexer::BEGIN@36	href=PPIx-Regexp-Lexer-pm-824-line.html#36
Perl::Critic::Policy::Variables::RequireNegativeIndices::BEGIN@11	href=Perl-RequireNegativeIndices-pm-256-line.html#11
Config::CORE:pack	href=Config_heavy-pl-602-line.html#Config__CORE_pack
Perl::Critic::Command::_validate_options	href=Perl-Critic-Command-pm-4-line.html#147
Fcntl::O_BINARY	href=Fcntl-pm-569-line.html#Fcntl__O_BINARY
Perl::Critic::Config::BEGIN@35	href=Perl-Critic-Config-pm-159-line.html#35
File::Find::CORE:match	href=File-Find-pm-191-line.html#File__Find__CORE_match
AutoLoader::BEGIN@146	href=AutoLoader-pm-63-line.html#146
PPIx::Regexp::Structure::Quantifier::BEGIN@32	href=PPIx-Regexp-Structure-Quantifier-pm-849-line.html#32
PPI::Token::DashedWord::__TOKENIZER__on_char	href=PPI-Token-DashedWord-pm-87-line.html#76
Perl::Tidy::HtmlWriter::BEGIN@4525	href=Perl-Tidy-pm-735-line.html#4525
Path::IsDev::Heuristic::VCS::Git::matches	href=Path-IsDev-Heuristic-VCS-Git-pm-655-line.html#47
Perl::Critic::Policy::ValuesAndExpressions::ProhibitSpecialLiteralHeredocTerminator::BEGIN@14	href=TOOLONG-301-line.html#14
Perl::Critic::Policy::RegularExpressions::ProhibitSingleCharAlternation::BEGIN@17	href=Perl-ProhibitSingleCharAlternation-pm-398-line.html#17
Module::Runtime::BEGIN@2.62	href=Path-IsDev-Heuristic-Tool-ModuleBuild-pm-645-line.html#2
Perl::Critic::PolicyFactory::create_all_policies	href=Perl-Critic-PolicyFactory-pm-172-line.html#209
PPIx::Regexp::Token::Recursion::CORE:regcomp	href=PPIx-Regexp-Token-Recursion-pm-897-line.html#PPIx__Regexp__Token__Recursion__CORE_regcomp
File::Find::CORE:qr	href=File-Find-pm-191-line.html#File__Find__CORE_qr
File::ShareDir::ProjectDistDir::__ANON__[/Users/timbo/perl5/perlbrew/perls/perl-5.18.2/lib/site_perl/5.18.2/File/ShareDir/ProjectDistDir.pm:682]	href=File-ShareDir-ProjectDistDir-pm-586-line.html#678
PPI::Token::BEGIN@39	href=PPI-Token-pm-58-line.html#39
Perl::Critic::Document::_init_from_external_source	href=Perl-Critic-Document-pm-808-line.html#86
Perl::Critic::Policy::Subroutines::ProhibitSubroutinePrototypes::default_severity	href=Perl-ProhibitSubroutinePrototypes-pm-368-line.html#28
Perl::Critic::Exception::BEGIN@25	href=Perl-Critic-Exception-pm-132-line.html#25
Perl::Critic::Policy::Variables::ProhibitPunctuationVars::BEGIN@22	href=Perl-ProhibitPunctuationVars-pm-234-line.html#22
Perl::Critic::Policy::Subroutines::ProhibitManyArgs::BEGIN@21	href=Perl-Critic-Policy-Subroutines-ProhibitManyArgs-pm-359-line.html#21
Perl::Critic::Policy::Miscellanea::ProhibitFormats::BEGIN@11	href=Perl-Critic-Policy-Miscellanea-ProhibitFormats-pm-505-line.html#11
PPIx::Regexp::Token::CharClass::Simple::BEGIN@36	href=PPIx-Regexp-Token-CharClass-Simple-pm-881-line.html#36
Perl::Tidy::VerticalAligner::Line::BEGIN@19323	href=Perl-Tidy-pm-735-line.html#19323
Perl::Critic::Policy::InputOutput::ProhibitExplicitStdin::default_severity	href=Perl-ProhibitExplicitStdin-pm-523-line.html#29
Perl::Critic::Policy::Subroutines::ProtectPrivateSubs::BEGIN@16	href=Perl-ProtectPrivateSubs-pm-374-line.html#16
Perl::Critic::Policy::InputOutput::RequireBriefOpen::BEGIN@18	href=Perl-Critic-Policy-InputOutput-RequireBriefOpen-pm-544-line.html#18
Role::Tiny::BEGIN@1.29	href=Path-IsDev-Role-Matcher-Child-Exists-Any-File-pm-628-line.html#1
Perl::Critic::Policy::RegularExpressions::ProhibitUnusedCapture::BEGIN@12	href=Perl-ProhibitUnusedCapture-pm-401-line.html#12
File::Find::CORE:stat	href=File-Find-pm-191-line.html#File__Find__CORE_stat
Config::CORE:unpack	href=Config_heavy-pl-602-line.html#Config__CORE_unpack
Perl::Critic::Policy::ControlStructures::ProhibitMutatingListFunctions::_is_topic	href=Perl-ProhibitMutatingListFunctions-pm-693-line.html#46
Fcntl::O_NOFOLLOW	href=Fcntl-pm-569-line.html#Fcntl__O_NOFOLLOW
Perl::Critic::Policy::InputOutput::RequireBriefOpen::BEGIN@10	href=Perl-Critic-Policy-InputOutput-RequireBriefOpen-pm-544-line.html#10
Perl::Critic::Violation::BEGIN@23	href=Perl-Critic-Violation-pm-139-line.html#23
PPI::Structure::Subscript::BEGIN@44	href=PPI-Structure-Subscript-pm-453-line.html#44
Perl::Critic::Document::is_module	href=Perl-Critic-Document-pm-808-line.html#483
File::ShareDir::ProjectDistDir::BEGIN@2	href=Path-IsDev-pm-587-line.html#2
Perl::Critic::Policy::TestingAndDebugging::RequireUseWarnings::BEGIN@18	href=Perl-RequireUseWarnings-pm-343-line.html#18
Module::Runtime::BEGIN@1	href=Path-IsDev-HeuristicSet-Basic-pm-619-line.html#1
Exporter::Tiny::CORE:sort	href=Exporter-Tiny-pm-65-line.html#Exporter__Tiny__CORE_sort
PPI::Token::QuoteLike::Regexp::BEGIN@36	href=PPI-Token-QuoteLike-Regexp-pm-101-line.html#36
Perl::Critic::Policy::BuiltinFunctions::RequireGlobFunction::CORE:regcomp	href=Perl-RequireGlobFunction-pm-796-line.html#Perl__Critic__Policy__BuiltinFunctions__RequireGlobFunction__CORE_regcomp
File::HomeDir::BEGIN@9	href=File-HomeDir-pm-632-line.html#9
Perl::Critic::Policy::ControlStructures::ProhibitUnreachableCode::BEGIN@16	href=Perl-ProhibitUnreachableCode-pm-705-line.html#16
HTML::Entities::CORE:subst	href=HTML-Entities-pm-741-line.html#HTML__Entities__CORE_subst
PPIx::Utilities::Node::BEGIN@4	href=PPIx-Utilities-Node-pm-809-line.html#4
Perl::Critic::Policy::BuiltinFunctions::RequireBlockMap::BEGIN@15	href=Perl-RequireBlockMap-pm-793-line.html#15
Perl::Critic::Utils::McCabe::BEGIN@10	href=Perl-Critic-Utils-McCabe-pm-353-line.html#10
Perl::Critic::Policy::CodeLayout::ProhibitTrailingWhitespace::BEGIN@10	href=Perl-ProhibitTrailingWhitespace-pm-720-line.html#10
Perl::Critic::Policy::InputOutput::ProhibitBacktickOperators::BEGIN@11	href=Perl-ProhibitBacktickOperators-pm-517-line.html#11
PPIx::Regexp::Token::GroupType::NamedCapture::BEGIN@37	href=PPIx-Regexp-Token-GroupType-NamedCapture-pm-912-line.html#37
Perl::Critic::Annotation::BEGIN@15	href=Perl-Critic-Annotation-pm-814-line.html#15
Perl::Critic::Policy::Modules::RequireVersionVar::BEGIN@18	href=Perl-Critic-Policy-Modules-RequireVersionVar-pm-502-line.html#18
Text::Tabs::BEGIN@17	href=Text-Tabs-pm-662-line.html#17
Role::Tiny::CORE:match	href=Role-Tiny-pm-621-line.html#Role__Tiny__CORE_match
Perl::Critic::Command::BEGIN@11	href=Perl-Critic-Command-pm-4-line.html#11
PPI::Token::BEGIN@26	href=PPI-Token-pm-58-line.html#26
PPI::Token::End::BEGIN@43	href=PPI-Token-End-pm-117-line.html#43
Perl::Critic::Policy::InputOutput::ProhibitReadlineInForLoop::BEGIN@15	href=Perl-ProhibitReadlineInForLoop-pm-535-line.html#15
Perl::Critic::Policy::Modules::ProhibitEvilModules::BEGIN@10	href=Perl-Critic-Policy-Modules-ProhibitEvilModules-pm-478-line.html#10
Perl::Critic::Policy::Variables::RequireNegativeIndices::BEGIN@16	href=Perl-RequireNegativeIndices-pm-256-line.html#16
Perl::Critic::Policy::ValuesAndExpressions::ProhibitEmptyQuotes::BEGIN@15	href=Perl-ProhibitEmptyQuotes-pm-268-line.html#15
Perl::Critic::Policy::NamingConventions::ProhibitAmbiguousNames::BEGIN@13	href=Perl-ProhibitAmbiguousNames-pm-469-line.html#13
PPI::Token::Quote::Literal::BEGIN@31	href=PPI-Token-Quote-Literal-pm-95-line.html#31
Perl::Critic::Policy::Documentation::PodSpelling::BEGIN@14	href=Perl-Critic-Policy-Documentation-PodSpelling-pm-565-line.html#14
Digest::base::BEGIN@3	href=Digest-base-pm-72-line.html#3
Perl::Critic::Policy::ErrorHandling::RequireCheckingReturnValueOfEval::BEGIN@16	href=Perl-RequireCheckingReturnValueOfEval-pm-562-line.html#16
Path::Tiny::exists	href=Path-Tiny-pm-600-line.html#725
PPI::Token::QuoteLike::Readline::BEGIN@40	href=PPI-Token-QuoteLike-Readline-pm-103-line.html#40
PPIx::Utilities::Statement::BEGIN@16	href=PPIx-Utilities-Statement-pm-427-line.html#16
PPIx::Regexp::Structure::NamedCapture::BEGIN@40	href=PPIx-Regexp-Structure-NamedCapture-pm-847-line.html#40
PPIx::Regexp::Token::Operator::BEGIN@39	href=PPIx-Regexp-Token-Operator-pm-923-line.html#39
PPI::Normal::Standard::import	href=PPI-Normal-Standard-pm-462-line.html#41
Config::Tiny::BEGIN@5	href=Config-Tiny-pm-803-line.html#5
Perl::Tidy::Formatter::BEGIN@6282	href=Perl-Tidy-pm-735-line.html#6282
Perl::Critic::Policy::RegularExpressions::ProhibitCaptureWithoutTest::BEGIN@13	href=Perl-ProhibitCaptureWithoutTest-pm-383-line.html#13
PPI::Document::new	href=PPI-Document-pm-456-line.html#148
PPI::Document::BEGIN@95	href=PPI-Document-pm-456-line.html#95
PPI::Token::BOM::BEGIN@46	href=PPI-Token-BOM-pm-75-line.html#46
Perl::Critic::Policy::Variables::RequireInitializationForLocalVars::BEGIN@15	href=Perl-RequireInitializationForLocalVars-pm-246-line.html#15
Perl::Critic::Policy::CodeLayout::RequireTrailingCommas::supported_parameters	href=Perl-RequireTrailingCommas-pm-745-line.html#27
PPIx::Regexp::Token::Backreference::CORE:regcomp	href=PPIx-Regexp-Token-Backreference-pm-869-line.html#PPIx__Regexp__Token__Backreference__CORE_regcomp
Perl::Critic::PolicyParameter::Behavior::Enumeration::initialize_parameter	href=Perl-Enumeration-pm-207-line.html#24
Perl::Critic::Policy::Modules::ProhibitMultiplePackages::BEGIN@15	href=Perl-ProhibitMultiplePackages-pm-484-line.html#15
Perl::Critic::PolicyParameter::_get_parser	href=Perl-Critic-PolicyParameter-pm-203-line.html#208
Role::Tiny::BEGIN@2.34	href=Path-IsDev-Role-Matcher-Child-Exists-Any-pm-629-line.html#2
Pod::Text::BEGIN@34	href=Pod-Text-pm-33-line.html#34
Path::IsDev::NegativeHeuristic::PerlINC::_uniq	href=Path-IsDev-NegativeHeuristic-PerlINC-pm-641-line.html#13
Perl::Critic::Policy::Variables::ProhibitUnusedVariables::BEGIN@15	href=Perl-ProhibitUnusedVariables-pm-240-line.html#15
Perl::Critic::Policy::Modules::RequireFilenameMatchesPackage::default_severity	href=Perl-RequireFilenameMatchesPackage-pm-496-line.html#31
Perl::Critic::Policy::TestingAndDebugging::ProhibitProlongedStrictureOverride::BEGIN@15	href=Perl-ProhibitProlongedStrictureOverride-pm-334-line.html#15
PPI::Structure::List::BEGIN@38	href=PPI-Structure-List-pm-452-line.html#38
Module::Pluggable::BEGIN@7	href=Module-Pluggable-pm-189-line.html#7
Perl::Critic::Theme::CORE:regcomp	href=Perl-Critic-Theme-pm-801-line.html#Perl__Critic__Theme__CORE_regcomp
Perl::Critic::Policy::InputOutput::RequireCheckedClose::default_severity	href=Perl-RequireCheckedClose-pm-547-line.html#28
PPI::Token::Label::BEGIN@35	href=PPI-Token-Label-pm-111-line.html#35
Perl::Critic::Policy::CodeLayout::ProhibitTrailingWhitespace::default_severity	href=Perl-ProhibitTrailingWhitespace-pm-720-line.html#45
Perl::Critic::Policy::CodeLayout::ProhibitQuotedWordLists::BEGIN@16	href=Perl-ProhibitQuotedWordLists-pm-717-line.html#16
Perl::Critic::Policy::ValuesAndExpressions::RequireInterpolationOfMetachars::BEGIN@1	href=Email-Address-pm-311-line.html#1
Perl::Critic::Policy::InputOutput::ProhibitTwoArgOpen::BEGIN@12	href=Perl-ProhibitTwoArgOpen-pm-538-line.html#12
Perl::Critic::Document::_caching_finder	href=Perl-Critic-Document-pm-808-line.html#502
Exporter::Tiny::BEGIN@100	href=Exporter-Tiny-pm-65-line.html#100
PPI::Exception::ParserTimeout::BEGIN@3	href=PPI-Exception-ParserTimeout-pm-457-line.html#3
Role::Tiny::BEGIN@2.74	href=Path-File-pm-648-line.html#2
Data::OptList::BEGIN@15	href=Data-OptList-pm-589-line.html#15
Perl::Critic::Document::process_annotations	href=Perl-Critic-Document-pm-808-line.html#400
Getopt::Long::CallBack::BEGIN@1506	href=Getopt-Long-pm-19-line.html#1506
Perl::Critic::PolicyParameter::BEGIN@31	href=Perl-Critic-PolicyParameter-pm-203-line.html#31
Perl::Critic::Exception::IO::BEGIN@11	href=Perl-Critic-Exception-IO-pm-145-line.html#11
File::Spec::Unix::_same	href=File-Spec-Unix-pm-29-line.html#482
PPI::Node::find_first	href=PPI-Node-pm-73-line.html#428
PPI::Structure::tokens	href=PPI-Structure-pm-446-line.html#276
Perl::Critic::Policy::get_format	href=Perl-Critic-Policy-pm-201-line.html#457
Perl::Critic::Policy::Subroutines::ProhibitExplicitReturnUndef::BEGIN@11	href=Perl-ProhibitExplicitReturnUndef-pm-356-line.html#11
Perl::Critic::Policy::ControlStructures::ProhibitLabelsWithSpecialBlockNames::BEGIN@14	href=Perl-ProhibitLabelsWithSpecialBlockNames-pm-690-line.html#14
Path::IsDev::Object::_debug	href=Path-IsDev-Object-pm-609-line.html#130
PPI::BEGIN@19	href=PPI-pm-428-line.html#19
Perl::Critic::Policy::CodeLayout::ProhibitParensWithBuiltins::BEGIN@11	href=Perl-ProhibitParensWithBuiltins-pm-714-line.html#11
Path::IsDev::Result::reasons	href=(eval 292)[Class-Tiny-pm-56]-615-line.html#1
PPIx::Regexp::Token::Code::BEGIN@51	href=PPIx-Regexp-Token-Code-pm-883-line.html#51
Perl::Critic::Policy::ControlStructures::ProhibitMutatingListFunctions::BEGIN@21	href=Perl-ProhibitMutatingListFunctions-pm-693-line.html#21
PPIx::Regexp::Token::Backreference::BEGIN@33	href=PPIx-Regexp-Token-Backreference-pm-869-line.html#33
File::Temp::BEGIN@37	href=File-Temp-pm-566-line.html#37
Readonly::Scalar	href=Readonly-pm-14-line.html#100
base::BEGIN@4	href=base-pm-35-line.html#4
File::Basename::CORE:regcomp	href=File-Basename-pm-140-line.html#File__Basename__CORE_regcomp
Perl::Tidy::VerticalAligner::Alignment::BEGIN@19542	href=Perl-Tidy-pm-735-line.html#19542
Perl::Critic::Policy::ValuesAndExpressions::ProhibitQuotesAsQuotelikeOperatorDelimiters::default_severity	href=TOOLONG-298-line.html#80
Module::Pluggable::Object::_is_editor_junk	href=Module-Pluggable-Object-pm-190-line.html#252
Perl::Critic::Policy::CodeLayout::ProhibitParensWithBuiltins::BEGIN@10	href=Perl-ProhibitParensWithBuiltins-pm-714-line.html#10
File::Spec::Unix::catfile	href=File-Spec-Unix-pm-29-line.html#File__Spec__Unix__catfile
Path::IsDev::Object::__ANON__[/Users/timbo/perl5/perlbrew/perls/perl-5.18.2/lib/site_perl/5.18.2/Path/IsDev/Object.pm:70]	href=Path-IsDev-Object-pm-609-line.html#67
PPI::Token::DashedWord::BEGIN@32	href=PPI-Token-DashedWord-pm-87-line.html#32
Module::Runtime::BEGIN@4.24	href=Path-IsDev-NegativeHeuristic-IsDev-IgnoreFile-pm-626-line.html#4
Perl::Critic::Policy::ValuesAndExpressions::ProhibitCommaSeparatedStatements::BEGIN@17	href=Perl-ProhibitCommaSeparatedStatements-pm-259-line.html#17
Perl::Critic::Policy::ValuesAndExpressions::ProhibitInterpolationOfLiterals::BEGIN@17	href=Perl-ProhibitInterpolationOfLiterals-pm-277-line.html#17
PPI::Token::CORE:match	href=PPI-Token-pm-58-line.html#PPI__Token__CORE_match
PPI::Document::BEGIN@68	href=PPI-Document-pm-456-line.html#68
Perl::Critic::Policy::RegularExpressions::ProhibitComplexRegexes::BEGIN@10	href=Perl-ProhibitComplexRegexes-pm-386-line.html#10
Exporter::CORE:match	href=Exporter-pm-11-line.html#Exporter__CORE_match
PPIx::Regexp::Structure::Subexpression::BEGIN@32	href=PPIx-Regexp-Structure-Subexpression-pm-841-line.html#32
PPI::Structure::finish	href=PPI-Structure-pm-446-line.html#182
Perl::Critic::Config::BEGIN@27	href=Perl-Critic-Config-pm-159-line.html#27
Perl::Critic::Policy::Subroutines::ProhibitUnusedPrivateSubroutines::default_severity	href=Perl-ProhibitUnusedPrivateSubroutines-pm-371-line.html#55
Perl::Critic::Policy::References::ProhibitDoubleSigils::BEGIN@11	href=Perl-ProhibitDoubleSigils-pm-419-line.html#11
